Model,Avg Time,Std Time,Min Time,Max Time,Avg Completed Tasks,Std Completed Tasks,Min Completed Tasks,Max Completed Tasks,Avg Task Completion Rate,Std Task Completion Rate,Min Task Completion Rate,Max Task Completion Rate,Avg Charges,Std Charges,Min Charges,Max Charges,Avg Battery,Std Battery,Min Battery,Max Battery
Heuristic,475.56295354764507,17.67662274299117,207.6349000283562,480.0,7.43,0.5416580040887362,4,8,0.92875,0.06770725051109203,0.5,1.0,0.996,0.06315051850925683,0,1,35.37604599061681,9.188724599891417,0.0,48.31367271296804
Q-Learning,475.58619982354287,17.713777458981188,207.25087809052127,480.0,7.409,0.5385248453033612,4,8,0.926125,0.06731560566292015,0.5,1.0,0.996,0.06315051850925683,0,1,34.491855167135284,9.183557336273289,0.0,47.87701862633488
SARSA,474.7344776359,22.017111939546513,201.88443608749702,480.0,6.874,1.180473429399204,3,8,0.85925,0.1475591786749005,0.375,1.0,1.277,0.46312577717666015,0,2,37.84325741804987,30.72076241661101,0.0,100.0
DQN,476.55421162682603,5.177948607590355,455.0615320411697,480.0,7.448,0.4975374795365105,7,8,0.931,0.06219218494206381,0.875,1.0,1.0,0.0,1,1,32.18747809769696,10.127481670187622,5.4322251010497595,48.4818279810892
DoubleDQN,476.37575151354395,5.157709092521356,454.4391796955662,480.0,7.462,0.4988033728883606,7,8,0.93275,0.06235042161104507,0.875,1.0,1.0,0.0,1,1,34.731359785088976,9.018390025558897,21.039279649852936,48.289209076206944
